FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_hoje_ref.0f515dbc-0f27-398b-88ec-4a87b0c59a92,-46.477,-2.17,2019-10-19T16:15:00,AQUA_M-T,CACHOEIRA DO PIRIÁ,PARÁ,Brasil,POINT (-2.17 -46.477)
focos_ams_hoje_ref.0fd5fdcf-ab7f-38d7-89c9-822b357a1f9e,-41.326,-17.5,2019-10-19T16:10:00,AQUA_M-T,TEÓFILO OTONI,MINAS GERAIS,Brasil,POINT (-17.5 -41.326)
focos_ams_hoje_ref.10015b33-9383-3adf-a0e9-2d3120357bb6,-64.348,-14.333,2019-10-19T17:50:00,AQUA_M-T,Cercado,El Beni,Bolivia,POINT (-14.333 -64.348)
focos_ams_hoje_ref.1016f7cd-f447-31f9-b71e-6ed1e0ef1953,-42.889,-6.743,2019-10-19T16:15:00,AQUA_M-T,FLORIANO,PIAUÍ,Brasil,POINT (-6.743 -42.889)
focos_ams_hoje_ref.105e2d12-4a7d-30b4-8747-34486a90cfe2,-43.703,-12.685,2019-10-19T16:10:00,AQUA_M-T,SERRA DOURADA,BAHIA,Brasil,POINT (-12.685 -43.703)
focos_ams_hoje_ref.10dd9ee5-f9ed-3ea0-831a-3ecba502ba62,-63.865,-15.379,2019-10-19T17:50:00,AQUA_M-T,Marbán,El Beni,Bolivia,POINT (-15.379 -63.865)
focos_ams_hoje_ref.10f613c1-5b23-3063-9313-9f462c6c73a5,-42.689,-14.085,2019-10-19T16:10:00,AQUA_M-T,CAETITÉ,BAHIA,Brasil,POINT (-14.085 -42.689)
focos_ams_hoje_ref.111b8ef2-bf72-3092-a7bb-72f0b166b0cd,-44.697,-8.812,2019-10-19T16:15:00,AQUA_M-T,CURRAIS,PIAUÍ,Brasil,POINT (-8.812 -44.697)
focos_ams_hoje_ref.114ffff3-b528-39c6-8b9e-4a4611a981ed,-44.286,-13.033,2019-10-19T16:10:00,AQUA_M-T,CANÁPOLIS,BAHIA,Brasil,POINT (-13.033 -44.286)
focos_ams_hoje_ref.1213af91-7b93-34ad-8f46-fa8aee1a15d6,-43.793,-4.46,2019-10-19T16:15:00,AQUA_M-T,CODÓ,MARANHÃO,Brasil,POINT (-4.46 -43.793)
